DATE,COMPOUND,BLOCK,DESCRIPTION,NAME,ALARM TYPE Type,ALARM DESC,ALM_RTN,PRIORITY,VALUE,ALARM VALUE,UNITS,LOCATION,GRP
2026-07-22 00:01:04.3,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),RTN,5,2.22031,2,INH2O,!hist14!CP1016,2
2026-07-22 00:01:07.3,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),ALM,5,1.97441,2,INH2O,!hist14!CP1016,2
2026-07-22 00:02:10.6,1BCS_7,IKTE3451,REHEAT TEMP RIGHT (NORM),,HIABS,HIGH,RTN,1,1007.1,1012.18,DEG.F,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1007,1
2026-07-22 00:02:16.1,1BCS_7,IKTE3751,REHEAT TEMP RIGHT (REDUNDANT),,HIABS,HIGH,RTN,1,1007.14,1012.18,DEG.F,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1007,1
2026-07-22 00:02:49.6,1DAS11,ISPSH1131,LIGHTER OIL SUPPLY PRESS ALM,,HIABS,HI LIGHTER OIL SUPPLY PRESS,ALM,1,179.385,175,KPH,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1008,1
2026-07-22 00:03:06.4,1SBRS,B13,R.H. SOOT BLOWING REG FBK,,HIABS,R.H. SOOTBLOWER FB @ 90%,ALM,5,91.2949,90,PCT,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1009,1
2026-07-22 00:03:20.0,1SBRS,B13,R.H. SOOT BLOWING REG FBK,,HIABS,R.H. SOOTBLOWER FB @ 90%,RTN,5,89.5977,90,PCT,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1009,1
2026-07-22 00:03:51.5,1AR_LS,DEV_5803,LS SYS B,,STATE,VALVE 5803 DEVIATION,ALM,3,,,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1017,1
2026-07-22 00:04:47.0,1AR_LS,DEV_5803,LS SYS B,,STATE,,RTN,3,,,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1017,1
2026-07-22 00:05:32.2,1AB_FILTERB,ACXV5141BAL,VAC PRDCR B INLT  VLV,VACUUM PRODUC,STATE,OK,RTN,3,,,,!WP1002!WP1011!WP1001!hist14!CP1020,1
2026-07-22 00:05:58.0,1WB_DEV,SOFA_ANY_DEV,SOFA ANY DEVIATION,,STATE,DEVIATION,ALM,5,,,DEG,,0
2026-07-22 00:06:48.8,1TWIP,DIFFALM2,REHEAT BOWL DEVIATION ALM,,HHABS,TWIP ALARM 75 DEG DEVIATION,RTN,1,67.2601,75,DEG,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1006,1
2026-07-22 00:06:49.8,1TWIP,DIFFALM2,REHEAT BOWL DEVIATION ALM,,HIABS,TWIP ALARM 50 DEG DEVIATION,RTN,3,17.6927,50,DEG,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1006,1
2026-07-22 00:07:14.3,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),RTN,5,2.20547,2,INH2O,!hist14!CP1016,2
2026-07-22 00:07:21.8,1TWIP,DIFFALM2,REHEAT BOWL DEVIATION ALM,,HIABS,TWIP ALARM 50 DEG DEVIATION,ALM,3,97.1008,50,DEG,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1006,1
2026-07-22 00:07:21.8,1TWIP,DIFFALM2,REHEAT BOWL DEVIATION ALM,,HHABS,TWIP ALARM 75 DEG DEVIATION,ALM,1,97.1008,75,DEG,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1006,1
2026-07-22 00:07:31.8,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),ALM,5,1.95195,2,INH2O,!hist14!CP1016,2
2026-07-22 00:09:34.3,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),RTN,5,2.21016,2,INH2O,!hist14!CP1016,2
2026-07-22 00:10:19.8,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),ALM,5,1.98086,2,INH2O,!hist14!CP1016,2
2026-07-22 00:10:33.3,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),RTN,5,2.20117,2,INH2O,!hist14!CP1016,2
